title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
House for sale,,Herndon,VA,20171,"$630,000",625004,,,"3 bds, 3.0 ba ,2394 sqft","Pearson Smith Realty, LLC",https://www.zillow.com/homedetails/13418-Arrowbrook-Centre-Dr-11-Herndon-VA-20171/2078581172_zpid/
New construction,,Herndon,VA,20171,"$1,560,000",,2485,,"6 bds, 7.0 ba ,5800 sqft",,https://www.zillow.com/homedetails/2927-W-Ox-Rd-Herndon-VA-20171/51734321_zpid/
Multi-family home for sale,,Herndon,VA,20171,"$675,000",675005,,,"3 bds, 2.0 ba ,2224 sqft","Pearson Smith Realty, LLC",https://www.zillow.com/homedetails/12833-Milling-Stone-Ter-10-Herndon-VA-20171/2077840414_zpid/
Condo for sale,,Herndon,VA,20171,"$317,500",,1850,,"2 bds, 2.0 ba ,1136 sqft",Keller Williams Fairfax Gateway,https://www.zillow.com/homedetails/12913-Centre-Park-Cir-APT-309-Herndon-VA-20171/68905881_zpid/
New construction,,Herndon,VA,20171,"$545,990",591468,,,"3 bds, 4.0 ba ,1633 sqft",RE/MAX Gateway,https://www.zillow.com/homedetails/0-Sunrise-Ridge-Aly-Herndon-VA-20171/2079206323_zpid/
House for sale,,Herndon,VA,20171,"$472,000",472004,,,"3 bds, 3.0 ba ,1522 sqft",Coldwell Banker Realty,https://www.zillow.com/homedetails/13676-Endeavour-Dr-SUITE-19G-Herndon-VA-20171/2078319843_zpid/
House for sale,,Herndon,VA,20171,"$515,000",529074,2400,0.45,"3 bds, 4.0 ba ,1640 sqft","AmeriVision Realty, Inc",https://www.zillow.com/homedetails/2488-Rolling-Plains-Dr-Herndon-VA-20171/51716319_zpid/
House for sale,,Herndon,VA,20171,"$499,999",505112,2280,0.45,"3 bds, 4.0 ba ,1748 sqft",Korte Realty,https://www.zillow.com/homedetails/2402-Simpkins-Farm-Dr-Herndon-VA-20171/51730078_zpid/
House for sale,,Herndon,VA,20171,"$490,000",492840,,,"3 bds, 3.0 ba ,1648 sqft",Keller Williams Fairfax Gateway,https://www.zillow.com/homedetails/13780-Earhart-Cir-10A-Herndon-VA-20171/2077742040_zpid/
Condo for sale,,Herndon,VA,20171,"$394,000",394001,1995,0.51,"2 bds, 2.0 ba ,1148 sqft",Customer Realty LLC,https://www.zillow.com/homedetails/13724-Neil-Armstrong-Ave-407-Herndon-VA-20171/168097114_zpid/
Condo for sale,,Herndon,VA,20171,"$550,000",,,,"3 bds, 3.0 ba ,2600 sqft",Redfin Corporation,https://www.zillow.com/homedetails/13723-Air-And-Space-Museum-Pkwy-SUITE-13H-Herndon-VA-20171/168096883_zpid/
Townhouse for sale,,Herndon,VA,20171,"$710,000",710004,3200,0.45,"3 bds, 5.0 ba ,1980 sqft","Long & Foster Real Estate, Inc.",https://www.zillow.com/homedetails/13338-Sherwood-Park-Ln-Herndon-VA-20171/250475112_zpid/
Condo for sale,,Herndon,VA,20171,"$535,000",537676,,,"3 bds, 3.0 ba ,2516 sqft",Redfin Corporation,https://www.zillow.com/homedetails/13709-Endeavour-Dr-4D-Herndon-VA-20171/2097450669_zpid/
Condo for sale,,Herndon,VA,20171,"$421,500",424901,2100,0.49,"2 bds, 2.0 ba ,1237 sqft",Redfin Corporation,https://www.zillow.com/homedetails/13723-Neil-Armstrong-Ave-SUITE-506-Herndon-VA-20171/168097534_zpid/
New construction,,Herndon,VA,20171,"$449,990+",401235,,,"2 bds, 2.0 ba ,1275 sqft",Pulte Homes,https://www.zillow.com/community/metropark-at-arrowbrook/2079829161_zpid/
New construction,,Herndon,VA,20171,"$536,954",602124,,,"3 bds, 3.0 ba ,1633 sqft",NVHomes,https://www.zillow.com/homedetails/12889-Sunrise-Ridge-Aly-Herndon-VA-20171/2077771652_zpid/
Condo for sale,,Herndon,VA,20171,"$415,000",415081,2100,0.51,"2 bds, 2.0 ba ,1237 sqft","Long & Foster Real Estate, Inc.",https://www.zillow.com/homedetails/13740-Endeavour-Dr-APT-406-Herndon-VA-20171/250474854_zpid/
New construction,,Herndon,VA,20171,"$634,990+",580995,2800,0.48,"3 bds, 3.0 ba ,2501 sqft",NVHomes,https://www.zillow.com/community/woodland-park-station/2082400923_zpid/
New construction,,Herndon,VA,20171,"$724,990",742729,2550,0.34,"4 bds, 5.0 ba ,2508 sqft",RE/MAX Gateway,https://www.zillow.com/homedetails/0-00-Milling-Stone-Ter-Herndon-VA-20171/2082250012_zpid/
New construction,,Herndon,VA,20171,"$724,990+",677283,3000,0.44,"4 bds, 4.0 ba ,2500 sqft",NVHomes,https://www.zillow.com/community/woodland-park-station/2083605181_zpid/
