title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Ranson,WV,25438,"$184,990",,1414,,"2 bds, 3.0 ba ,1253 sqft","Dan Ryan Builders Realty, LLC",https://www.zillow.com/homedetails/0-Thumper-Dr-MADISON-Ranson-WV-25438/2086349360_zpid/
New construction,,Ranson,WV,25438,"$198,990",,,,"3 bds, 4.0 ba ,1340 sqft","Dan Ryan Builders Realty, LLC",https://www.zillow.com/homedetails/0-Thumper-Dr-Ranson-WV-25438/2090963174_zpid/
New construction,,Ranson,WV,25438,"$207,490",207491,,,"3 bds, 3.0 ba ,1387 sqft","The Bryan Group Real Estate, LLC",https://www.zillow.com/homedetails/154-Presidents-Pointe-Ave-Ranson-WV-25438/2078408630_zpid/
